"","nombre","year","day","mes","Caudal"
"19966","RIO MAPOCHO EN EL TREBAL",2021,"21","October",NA
"19967","RIO MAPOCHO EN EL TREBAL",2021,"21","November",NA
"19968","RIO MAPOCHO EN EL TREBAL",2021,"21","December",NA
"19969","RIO MAPOCHO EN EL TREBAL",2021,"22","January","5.0800000000000001"
"19970","RIO MAPOCHO EN EL TREBAL",2021,"22","February","3.8799999999999999"
"19971","RIO MAPOCHO EN EL TREBAL",2021,"22","March","2.0099999999999998"
"19972","RIO MAPOCHO EN EL TREBAL",2021,"22","April",NA
"19973","RIO MAPOCHO EN EL TREBAL",2021,"22","May",NA
"19974","RIO MAPOCHO EN EL TREBAL",2021,"22","June",NA
"19975","RIO MAPOCHO EN EL TREBAL",2021,"22","July",NA
"19976","RIO MAPOCHO EN EL TREBAL",2021,"22","August",NA
"19977","RIO MAPOCHO EN EL TREBAL",2021,"22","September",NA
"19978","RIO MAPOCHO EN EL TREBAL",2021,"22","October",NA
"19979","RIO MAPOCHO EN EL TREBAL",2021,"22","November",NA
"19980","RIO MAPOCHO EN EL TREBAL",2021,"22","December",NA
"19981","RIO MAPOCHO EN EL TREBAL",2021,"23","January","8.3200000000000003"
"19982","RIO MAPOCHO EN EL TREBAL",2021,"23","February","2.6200000000000001"
"19983","RIO MAPOCHO EN EL TREBAL",2021,"23","March","1.21"
"19984","RIO MAPOCHO EN EL TREBAL",2021,"23","April",NA
"19985","RIO MAPOCHO EN EL TREBAL",2021,"23","May",NA
"19986","RIO MAPOCHO EN EL TREBAL",2021,"23","June",NA
"19987","RIO MAPOCHO EN EL TREBAL",2021,"23","July",NA
"19988","RIO MAPOCHO EN EL TREBAL",2021,"23","August",NA
"19989","RIO MAPOCHO EN EL TREBAL",2021,"23","September",NA
"19990","RIO MAPOCHO EN EL TREBAL",2021,"23","October",NA
"19991","RIO MAPOCHO EN EL TREBAL",2021,"23","November",NA
"19992","RIO MAPOCHO EN EL TREBAL",2021,"23","December",NA
"19993","RIO MAPOCHO EN EL TREBAL",2021,"24","January","9.8399999999999999"
"19994","RIO MAPOCHO EN EL TREBAL",2021,"24","February","2.75"
"19995","RIO MAPOCHO EN EL TREBAL",2021,"24","March","1.02"
"19996","RIO MAPOCHO EN EL TREBAL",2021,"24","April",NA
"19997","RIO MAPOCHO EN EL TREBAL",2021,"24","May",NA
"19998","RIO MAPOCHO EN EL TREBAL",2021,"24","June",NA
"19999","RIO MAPOCHO EN EL TREBAL",2021,"24","July",NA
"20000","RIO MAPOCHO EN EL TREBAL",2021,"24","August",NA
